600148,长春一东,长春一东离合器股份有限公司
600149,廊坊发展,廊坊发展股份有限公司
600150,中国船舶,中国船舶工业股份有限公司
600151,航天机电,上海航天汽车机电股份有限公司
600152,维科精华,宁波维科精华集团股份有限公司
600153,建发股份,厦门建发股份有限公司
600155,*ST宝硕,河北宝硕股份有限公司
600156,华升股份,湖南华升股份有限公司
600157,永泰能源,永泰能源股份有限公司
600158,中体产业,中体产业集团股份有限公司
600159,大龙地产,北京市大龙伟业房地产开发股份有限公司
600160,巨化股份,浙江巨化股份有限公司
600161,天坛生物,北京天坛生物制品股份有限公司
600162,香江控股,深圳香江控股股份有限公司
600163,福建南纸,福建省南纸股份有限公司
600165,新日恒力,宁夏新日恒力钢丝绳股份有限公司
600166,福田汽车,北汽福田汽车股份有限公司
600167,联美控股,联美控股股份有限公司
600168,武汉控股,武汉三镇实业控股股份有限公司
600169,太原重工,太原重工股份有限公司
600170,上海建工,上海建工集团股份有限公司
600171,上海贝岭,上海贝岭股份有限公司
600172,黄河旋风,河南黄河旋风股份有限公司
600173,卧龙地产,卧龙地产集团股份有限公司
600175,美都控股,美都控股股份有限公司
600176,中国玻纤,中国玻纤股份有限公司
600177,雅戈尔,雅戈尔集团股份有限公司
600178,东安动力,哈尔滨东安汽车动力股份有限公司
600179,黑化股份,黑龙江黑化股份有限公司
600180,瑞茂通,瑞茂通供应链管理股份有限公司
600182,S佳通,佳通轮胎股份有限公司
600183,生益科技,广东生益科技股份有限公司
600184,光电股份,北方光电股份有限公司
600185,格力地产,格力地产股份有限公司
600186,莲花味精,河南莲花味精股份有限公司
600187,国中水务,黑龙江国中水务股份有限公司
600188,兖州煤业,兖州煤业股份有限公司
600189,吉林森工,吉林森林工业股份有限公司
600190,锦州港,锦州港股份有限公司
600191,华资实业,包头华资实业股份有限公司
600192,长城电工,兰州长城电工股份有限公司
600193,创兴资源,上海创兴资源开发股份有限公司
600195,中牧股份,中牧实业股份有限公司
600196,复星医药,上海复星医药（集团）股份有限公司
600197,伊力特,新疆伊力特实业股份有限公司
600198,大唐电信,大唐电信科技股份有限公司
600199,金种子酒,安徽金种子酒业股份有限公司
600200,江苏吴中,江苏吴中实业股份有限公司
600201,金宇集团,内蒙古金宇集团股份有限公司
600202,哈空调,哈尔滨空调股份有限公司
600203,福日电子,福建福日电子股份有限公司
600206,有研硅股,有研半导体材料股份有限公司
600207,安彩高科,河南安彩高科股份有限公司
600208,新湖中宝,新湖中宝股份有限公司
600209,罗顿发展,罗顿发展股份有限公司
600210,紫江企业,上海紫江企业集团股份有限公司
600211,西藏药业,西藏诺迪康药业股份有限公司
600212,江泉实业,山东江泉实业股份有限公司
600213,亚星客车,扬州亚星客车股份有限公司
600215,长春经开,长春经开(集团)股份有限公司
600216,浙江医药,浙江医药股份有限公司
600217,秦岭水泥,陕西秦岭水泥(集团)股份有限公司
600218,全柴动力,安徽全柴动力股份有限公司
600219,南山铝业,山东南山铝业股份有限公司
600220,江苏阳光,江苏阳光股份有限公司
600221,海南航空,海南航空股份有限公司
600222,太龙药业,河南太龙药业股份有限公司
600223,鲁商置业,鲁商置业股份有限公司
600225,天津松江,天津松江股份有限公司
600226,升华拜克,浙江升华拜克生物股份有限公司
600227,赤天化,贵州赤天化股份有限公司
600228,昌九生化,江西昌九生物化工股份有限公司
600229,青岛碱业,青岛碱业股份有限公司
600230,沧州大化,沧州大化股份有限公司
600231,凌钢股份,凌源钢铁股份有限公司
600232,金鹰股份,浙江金鹰股份有限公司
600233,大杨创世,大连大杨创世股份有限公司
600234,*ST天龙,太原天龙集团股份有限公司
600235,民丰特纸,民丰特种纸股份有限公司
600236,桂冠电力,广西桂冠电力股份有限公司
600237,铜峰电子,安徽铜峰电子股份有限公司
600238,海南椰岛,海南椰岛（集团）股份有限公司
600239,云南城投,云南城投置业股份有限公司
600240,华业地产,北京华业地产股份有限公司
600241,时代万恒,辽宁时代万恒股份有限公司
600242,中昌海运,中昌海运股份有限公司
600243,青海华鼎,青海华鼎实业股份有限公司
600246,万通地产,北京万通地产股份有限公司
600247,成城股份,吉林成城集团股份有限公司
600248,延长化建,陕西延长石油化建股份有限公司
600249,两面针,柳州两面针股份有限公司
600250,南纺股份,南京纺织品进出口股份有限公司
600251,冠农股份,新疆冠农果茸集团股份有限公司
600252,中恒集团,广西梧州中恒集团股份有限公司
600255,鑫科材料,安徽鑫科新材料股份有限公司
600256,广汇能源,广汇能源股份有限公司
600257,大湖股份,大湖水殖股份有限公司
600258,首旅酒店,北京首都旅游股份有限公司
600259,广晟有色,广晟有色金属股份有限公司
600260,凯乐科技,湖北凯乐科技股份有限公司
600261,阳光照明,浙江阳光照明电器集团股份有限公司
600262,北方股份,内蒙古北方重型汽车股份有限公司
600265,*ST景谷,云南景谷林业股份有限公司
600266,北京城建,北京城建投资发展股份有限公司
600267,海正药业,浙江海正药业股份有限公司
600268,国电南自,国电南京自动化股份有限公司
600269,赣粤高速,江西赣粤高速公路股份有限公司
600270,外运发展,中外运空运发展股份有限公司
600271,航天信息,航天信息股份有限公司
600272,开开实业,上海开开实业股份有限公司
600273,华芳纺织,华芳纺织股份有限公司
600275,武昌鱼,湖北武昌鱼股份有限公司
600276,恒瑞医药,江苏恒瑞医药股份有限公司
600277,亿利能源,内蒙古亿利能源股份有限公司
600278,东方创业,东方国际创业股份有限公司
600279,重庆港九,重庆港九股份有限公司
600280,中央商场,南京中央商场（集团）股份有限公司
600281,太化股份,太原化工股份有限公司
600282,南钢股份,南京钢铁股份有限公司
600283,钱江水利,钱江水利开发股份有限公司
600284,浦东建设,上海浦东路桥建设股份有限公司
600285,羚锐制药,河南羚锐制药股份有限公司
600287,江苏舜天,江苏舜天股份有限公司
600288,大恒科技,大恒新纪元科技股份有限公司
600289,亿阳信通,亿阳信通股份有限公司
600290,华仪电气,华仪电气股份有限公司
600291,西水股份,内蒙古西水创业股份有限公司
600292,中电远达,中电投远达环保（集团）股份有限公司
600293,三峡新材,湖北三峡新型建材股份有限公司
600295,鄂尔多斯,内蒙古鄂尔多斯资源股份有限公司
600297,美罗药业,美罗药业股份有限公司
600298,安琪酵母,安琪酵母股份有限公司
